order_id,customer_id,order_date,order_total,status,payment_method
1001,C001,2024-01-15,125.50,completed,credit_card
1002,C002,01/16/2024,89.99,completed,paypal
1003,C001,2024-01-17,,,credit_card
1004,C003,2024/01/18,234.75,pending,debit_card
1005,C002,2024-01-19,45.00,completed,credit_card
1006,C004,Jan 20 2024,NULL,cancelled,paypal
1007,C005,2024-01-20,156.80,completed,credit_card
1008,C003,2024-01-21,67.25,completed,debit_card
1009,C001,2024-01-22,299.99,pending,credit_card
1010,C006,2024-01-23,,shipped,paypal
1001,C001,2024-01-15,125.50,completed,credit_card
1011,C007,2024-01-24,178.30,completed,credit_card
1012,C002,01-25-2024,92.40,completed,paypal
1013,C008,2024-01-26,445.00,completed,debit_card
1014,C004,2024-01-27,NULL,cancelled,credit_card
1015,C005,2024/01/28,203.15,completed,paypal
1016,C009,2024-01-29,88.88,shipped,credit_card
1017,C003,2024-01-30,321.00,completed,debit_card
1018,C010,2024-01-31,,pending,paypal
1019,C001,2024-02-01,156.75,completed,credit_card
1020,C006,Feb 2 2024,234.50,completed,debit_card
1021,C007,2024-02-03,99.99,cancelled,credit_card
1022,C002,2024-02-04,412.30,completed,paypal
1023,C008,2024-02-05,76.45,completed,credit_card
1024,C004,02/06/2024,189.20,shipped,debit_card
1025,C005,2024-02-07,NULL,cancelled,paypal
1026,C009,2024-02-08,267.80,completed,credit_card
1027,C010,2024/02/09,145.60,completed,paypal
1028,C003,2024-02-10,398.25,completed,debit_card
1011,C007,2024-01-24,178.30,completed,credit_card
1029,C001,2024-02-11,223.40,pending,credit_card
1030,C006,Feb 12 2024,,shipped,debit_card